president_name,speech_title,speech_date,speech_duration
Chester A. Arthur,Veto of Safety Regulations Bill,"July 01, 1882",1206
Gerald Ford,Republican National Convention,"August 19, 1976",2886
James K. Polk,Third Annual Message,"December 07, 1847",16407
Bill Clinton,Remarks at the U.S. National Cemetery,"June 06, 1994",1305
Dwight D. Eisenhower,Eisenhower Doctrine,"January 05, 1957",3415
Harry S. Truman,Democratic National Convention,"July 15, 1948",2680
Andrew Johnson,Veto Message on Admitting Nebraska into the Union,"January 29, 1867",1444
Lyndon B. Johnson,Remarks on the Creation of the Department of Transportation,"October 15, 1966",836
Chester A. Arthur,Fourth Annual Message,"December 01, 1884",8855
George Washington,Third Annual Message to Congress,"October 25, 1791",2259
George H. W. Bush,Address to the Nation on Panama,"December 20, 1989",766
Lyndon B. Johnson,Statement on Arrests in Violo Liuzzo Murder,"March 26, 1965",766
William McKinley,"Speech in Buffalo, New York","September 05, 1901",2193
John F. Kennedy,"""President and the Press"" Speech","April 27, 1961",2405
Rutherford B. Hayes,Prohibition of Federal Employees’ Political Involvement,"June 22, 1877",143
Richard M. Nixon,Address to the Nation Announcing an Agreement on Ending the War in Vietnam,"January 23, 1973",1244
Woodrow Wilson,Third Annual Message,"December 07, 1915",7686
Ronald Reagan,Address to the British Parliament,"June 08, 1982",4363
Barack Obama,Remarks on Immigration Reform,"January 29, 2013",3079
James Buchanan,Second Annual Message,"December 06, 1858",16347
Richard M. Nixon,The President's News Conference,"February 25, 1974",5368
Ulysses S. Grant,Message on Civil Service Reform,"December 19, 1871",1432
Barack Obama,Remarks at the 50th Anniversary of the Selma Marches,"March 07, 2015",3729
Thomas Jefferson,Sixth Annual Message,"December 02, 1806",2876
Andrew Johnson,Veto Message Regarding Regulations on Confederate States,"June 20, 1868",1333
Ronald Reagan,Speech to the Nation on Lebanon and Grenada,"October 27, 1983",8236
Woodrow Wilson,Address to a Joint Session of Congress on Trusts and Monopolies,"January 20, 1914",2516
Lyndon B. Johnson,Press Conference at the White House,"March 07, 1964",4689
Benjamin Harrison,Inaugural Address,"March 04, 1889",4058
Lyndon B. Johnson,Press Conference at the LBJ Ranch,"July 05, 1966",4887
Theodore Roosevelt,Third Annual Message,"December 07, 1903",11437
Ronald Reagan,State of the Union Address,"January 25, 1988",4825
John Tyler,Veto Message Regarding the Bank of the United States,"August 16, 1841",2514
Bill Clinton,Address on Affirmative Action,"July 19, 1995",6413
Dwight D. Eisenhower,State of the Union Address,"January 07, 1954",6016
Bill Clinton,Farewell Address,"January 18, 2001",1106
Franklin D. Roosevelt,Democratic National Convention,"June 27, 1936",1986
Franklin Pierce,Message Regarding Proposed US-Mexican Convention,"March 14, 1854",544
